vehicle_id,manufacturer,vehicle_type,engine_cc,horsepower,fuel_type,transmission,mileage_kmpl,vehicle_age_years,annual_maintenance_cost,resale_price
1,Tesla,Hatchback,3449,179,Hybrid,Automatic,21.96,4,4542.77,53131.58
2,BMW,SUV,2446,305,Diesel,Manual,32.77,5,835.54,59077.8
3,Mercedes,Sedan,2703,115,Diesel,Automatic,11.1,3,1782.59,42301.64
4,Tesla,SUV,2182,97,Hybrid,Automatic,9.92,5,726.66,35366.06
5,Ford,Electric,944,304,Petrol,Automatic,31.0,1,2214.7,56922.14
6,Mercedes,Truck,3122,80,Hybrid,Automatic,28.92,11,4584.49,30302.03
7,Mercedes,Electric,3356,169,Petrol,Automatic,15.12,12,3973.16,37225.23
8,Tesla,Truck,2002,153,Diesel,Manual,16.75,6,3697.63,36325.99
9,Honda,Electric,3600,453,Petrol,Manual,16.38,2,2805.23,84790.71
10,Ford,Hatchback,2661,469,Diesel,Automatic,25.49,13,4452.38,74029.42
11,Tesla,SUV,2654,195,Petrol,Automatic,9.65,9,2412.38,51344.26
12,Ford,Truck,3324,290,Diesel,Manual,21.21,3,1003.52,61605.59
13,Ford,Sedan,2666,67,Diesel,Manual,11.61,8,4236.65,27251.11
14,Mercedes,SUV,3975,387,Hybrid,Automatic,30.13,14,1614.3,68533.26
15,BMW,Sedan,1898,434,Electric,Automatic,18.28,14,552.08,65098.83
16,Ford,SUV,1951,349,Electric,Automatic,22.24,11,892.38,55890.14
17,Hyundai,SUV,2534,310,Diesel,Manual,8.79,14,3162.58,50444.56
18,Mercedes,Electric,3513,459,Hybrid,Automatic,9.57,12,3153.29,74280.4
19,Honda,Truck,1367,420,Electric,Automatic,26.23,4,1522.86,74064.35
20,BMW,Truck,2613,456,Electric,Automatic,28.7,8,3717.75,76653.88
21,Hyundai,SUV,1330,146,Hybrid,Automatic,27.17,9,3936.11,30909.82
22,Hyundai,Hatchback,3006,263,Hybrid,Automatic,27.9,12,4626.36,55282.15
23,Honda,Hatchback,2361,278,Electric,Automatic,10.82,9,3049.21,49620.86
24,BMW,Sedan,1480,465,Electric,Automatic,26.72,9,3963.29,69928.02
25,Mercedes,Sedan,2870,300,Petrol,Automatic,12.91,11,3839.57,58211.08
26,Toyota,Electric,1870,470,Petrol,Manual,10.65,9,1511.7,78402.68
27,BMW,SUV,3372,379,Diesel,Manual,28.44,5,1758.06,72156.67
28,Honda,Sedan,1528,317,Electric,Manual,32.01,7,2548.87,52452.16
29,Hyundai,Sedan,2529,168,Hybrid,Automatic,27.35,4,389.48,44437.69
30,Mercedes,SUV,2991,315,Hybrid,Manual,29.75,4,1697.77,59071.81
31,BMW,Electric,1467,341,Electric,Manual,34.76,2,2527.25,70975.24
32,Toyota,Sedan,2412,279,Diesel,Manual,11.64,6,807.93,56177.5
33,Toyota,Electric,1480,142,Hybrid,Manual,34.06,1,893.5,42984.48
34,Ford,Truck,1772,166,Electric,Manual,24.23,10,2477.21,35125.17
35,Ford,Electric,3646,128,Electric,Automatic,29.96,11,3735.54,41815.0
36,Tesla,Hatchback,2932,156,Diesel,Manual,25.55,2,4218.62,44208.56
37,Honda,Hatchback,3263,271,Electric,Automatic,23.39,14,2867.68,47132.53
38,BMW,Electric,3541,345,Hybrid,Automatic,27.0,1,2531.32,72037.65
39,BMW,Hatchback,3329,296,Petrol,Manual,16.65,14,2106.12,55547.19
40,Tesla,Truck,3303,67,Diesel,Automatic,32.96,12,1206.86,33535.08
41,Hyundai,SUV,1626,353,Electric,Manual,11.11,7,988.84,65780.89
42,Hyundai,Hatchback,1096,248,Diesel,Automatic,16.59,3,4021.91,53933.25
43,Tesla,Hatchback,3983,140,Electric,Automatic,8.84,9,2485.53,38593.4
44,Hyundai,Electric,2053,167,Petrol,Manual,15.33,7,4014.51,37779.98
45,Ford,Truck,3967,380,Diesel,Automatic,13.89,7,3609.19,68567.46
46,BMW,SUV,3797,126,Electric,Automatic,9.34,7,1211.31,39759.04
47,Tesla,Electric,3527,233,Petrol,Automatic,21.28,7,2698.44,46501.18
48,BMW,Electric,3225,405,Hybrid,Automatic,20.65,7,2386.88,76071.37
49,Toyota,Truck,3268,410,Electric,Automatic,10.1,11,2292.21,66030.24
50,Ford,SUV,2952,387,Petrol,Automatic,15.07,8,2850.08,64651.7
51,Mercedes,Truck,2528,102,Petrol,Automatic,33.74,1,4915.78,37706.5
52,Ford,SUV,2824,246,Diesel,Automatic,10.99,8,4120.63,46764.85
53,Tesla,Truck,1129,361,Electric,Manual,16.24,7,4547.45,62339.87
54,Mercedes,Electric,3286,259,Hybrid,Automatic,8.97,10,439.31,49039.93
55,Toyota,Electric,1955,440,Electric,Manual,12.02,9,959.58,72069.41
56,Tesla,Sedan,2690,478,Petrol,Manual,26.88,0,698.39,88204.64
57,Honda,Hatchback,1181,98,Hybrid,Automatic,17.9,13,1537.19,21954.93
58,BMW,Truck,2985,279,Petrol,Automatic,20.21,4,2376.89,56682.64
59,Toyota,Sedan,3790,366,Diesel,Manual,12.24,10,3317.65,63883.5
